issuer,PD,region,sector
BAS.DE,0.000544,EU,Basic Materials
VOD,0.001997,EU,Communication Services
RNO.PA,0.001997,EU,Consumer Cyclical
DTE.DE,0.001997,EU,Communication Services
TEF,0.001997,EU,Communication Services
ATL.MI,0.008538,EU,Industrials
ADDYY,0.000544,EU,Consumer Cyclical
KGF.L,0.001997,EU,Consumer Cyclical
BTI,0.001997,EU,Consumer Services
ATVI,0.000544,NA,Communication Services
CVS,0.001997,NA,Healthcare
IBM,0.000544,NA,Technology
ABT,0.000544,NA,Healthcare
BRK-B,0.000141,NA,Financial Services
IP,0.001997,NA,Consumer Cyclical
CTXS,0.001997,NA,Technology
GLW,0.001997,NA,Technology
FISV,0.001997,NA,Technology
FLIR,0.001997,NA,Technology
HPQ,0.001997,NA,Technology
INTC,0.000544,NA,Technology
INTU,0.000544,NA,Technology
LRCX,0.000544,NA,Technology
MSI,0.001997,NA,Technology
NTAP,0.001997,NA,Technology
NLOK,0.008538,NA,Technology
NVDA,0.000544,NA,Technology
ORCL,0.000544,NA,Technology
PTC,0.001997,NA,Technology
QCOM,0.000544,NA,Technology
